sname,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c15,c16,c17
G0801 賽馬會官立中學,6566,92,218,458,706,1028,1295,1514,1795,2079,2366,2734,2982,3255,3578,3882
G0901 九龍塘官立小學,6446,97,228,401,677,981,1250,1555,1848,2156,2500,2819,3009,3268,3599,3919
G0902 九龍方方樂趣幼稚兒園,1016,20,40,66,100,178,215,238,288,338,404,447,486,517,552,599
G1001 九龍城體育館,6025,61,186,393,612,794,983,1187,1397,1634,1839,2060,2290,2513,2739,2921
G1101 聖三一堂小學,6640,66,201,447,716,1002,1174,1515,1790,2078,2392,2623,2875,3060,3435,3717
G1201 保良局溫林美賢耆暉中心,5233,107,249,462,669,852,1021,1219,1379,1605,1802,1992,2192,2401,2643,2859
G1301 佛教陳策文伉儷幼稚園,7791,211,506,824,1181,1475,1654,1956,2189,2520,2813,3078,3418,3698,3990,4325
G1501 基督教香港信義會紅磡信義學校,5341,86,212,444,678,872,1055,1254,1421,1606,1809,1998,2197,2387,2549,2734
G1601 中華基督教會基道中學,5875,85,212,367,585,830,1015,1250,1447,1720,1939,2148,2380,2610,2852,3132
G1701 博愛醫院任永賢夫人幼稚園幼兒中心,4581,54,150,277,461,671,902,1117,1334,1527,1749,1950,2194,2376,2650,3014
G1702 紅磡社區會堂,4290,60,185,335,519,640,803,973,1173,1378,1536,1700,1850,2057,2255,2466
G1801 葛量洪校友會黃埔學校,10228,112,401,740,1158,1621,2126,2806,3148,3744,4289,4757,5314,5766,6291,7202
G1901 馬頭涌官立小學(紅磡灣),3192,42,113,217,383,558,692,865,1042,1222,1378,1531,1698,1838,2054,2233
G1902 香港青少年服務處賽馬會方樹泉綜合青少年服務中心,3157,42,146,283,408,547,723,889,1067,1194,1330,1479,1628,1781,1993,2219
G2001 聖公會聖匠中學,9804,88,311,644,1098,1566,1965,2407,2863,3420,3816,4296,4677,4956,5487,6068
G2101 紅磡市政大廈體育館,8495,116,357,708,1034,1331,1691,1905,2218,2546,2890,3193,3400,3746,4111,4371
G2201 愛培學校,5576,101,267,489,724,933,1217,1384,1657,1958,2246,2440,2645,2841,3118,3362
G2301 何文田體育館,7490,100,274,513,797,1064,1335,1555,1805,2144,2417,2717,3015,3304,3645,3967
